MouseMovements,Keypresses,ScreenResolution,UserAgent,Timezone,Language
"[{'x': 483, 'y': 569}]",[],"[1536, 864]","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36",Asia/Calcutta,en-US
MouseMovements,Keypresses,ScreenResolution,UserAgent,Timezone,Language
"[{'x': 572, 'y': 369}]",[],"[1536, 864]","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36",Asia/Calcutta,en-US
MouseMovements,Keypresses,ScreenResolution,UserAgent,Timezone,Language
"[{'x': 764, 'y': 525}]",[],"[1536, 864]","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36",Asia/Calcutta,en-US
MouseMovements,Keypresses,ScreenResolution,UserAgent,Timezone,Language
"[{'x': 690, 'y': 360}]",[],"[1536, 864]","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36",Asia/Calcutta,en-US
MouseMovements,Keypresses,ScreenResolution,UserAgent,Timezone,Language
"[{'x': 703, 'y': 495}]",[],"[1536, 864]","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36",Asia/Calcutta,en-US
MouseMovements,Keypresses,ScreenResolution,UserAgent,Timezone,Language
[],[],"[1536, 864]","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36",Asia/Calcutta,en-US
MouseMovements,Keypresses,ScreenResolution,UserAgent,Timezone,Language
[],[],"[1536, 864]","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36",Asia/Calcutta,en-US
MouseMovements,Keypresses,ScreenResolution,UserAgent,Timezone,Language
[],[],"[1536, 864]","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36",Asia/Calcutta,en-US
MouseMovements,Keypresses,ScreenResolution,UserAgent,Timezone,Language
[],[],"[1536, 864]","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36",Asia/Calcutta,en-US
MouseMovements,Keypresses,ScreenResolution,UserAgent,Timezone,Language
"[{'x': 787, 'y': 473}, {'x': 848, 'y': 459}, {'x': 971, 'y': 437}]",[],"[1536, 864]","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36",Asia/Calcutta,en-US
MouseMovements,Keypresses,ScreenResolution,UserAgent,Timezone,Language
[],[],"[1536, 864]","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36",Asia/Calcutta,en-US
MouseMovements,Keypresses,ScreenResolution,UserAgent,Timezone,Language
[],[],"[1536, 864]","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36",Asia/Calcutta,en-US
MouseMovements,Keypresses,ScreenResolution,UserAgent,Timezone,Language
[],[],"[1536, 864]","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36",Asia/Calcutta,en-US
MouseMovements,Keypresses,ScreenResolution,UserAgent,Timezone,Language
[],[],"[1536, 864]","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36",Asia/Calcutta,en-US
MouseMovements,Keypresses,ScreenResolution,UserAgent,Timezone,Language
[],[],"[1536, 864]","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36",Asia/Calcutta,en-US
MouseMovements,Keypresses,ScreenResolution,UserAgent,Timezone,Language
[],[],"[1536, 864]","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36",Asia/Calcutta,en-US
MouseMovements,Keypresses,ScreenResolution,UserAgent,Timezone,Language
[],[],"[1536, 864]","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36",Asia/Calcutta,en-US
MouseMovements,Keypresses,ScreenResolution,UserAgent,Timezone,Language
[],[],"[1536, 864]","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36",Asia/Calcutta,en-US
MouseMovements,Keypresses,ScreenResolution,UserAgent,Timezone,Language
[],[],"[1536, 864]","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36",Asia/Calcutta,en-US
MouseMovements,Keypresses,ScreenResolution,UserAgent,Timezone,Language
